-> Cluster1
Point11	78.468080 92.307929 24.858135
Point15	90.700718 88.049096 31.899550
Point16	86.447518 93.671410 7.216808
Point47	93.588932 78.568717 3.291335
Point57	80.300969 93.950982 20.250906
Point72	75.683850 88.950592 23.873689
Point134	81.805156 84.964582 4.352384
Point137	65.666574 85.060468 6.324363
Point152	80.083380 60.387304 20.712651
Point161	88.773137 81.449334 10.481458
Point171	91.052848 63.906368 15.837189
Point178	90.058323 61.920916 28.240030
Point187	81.918972 59.945355 16.355643
Point188	67.274919 86.728963 20.008516
Point212	64.922030 65.869132 9.994473
Point223	73.256398 59.584136 23.263249
Point247	72.049326 71.698171 18.973628
Point283	77.834832 76.241469 5.691713
Point337	77.990861 97.036040 27.100968
Point350	89.665087 73.135742 38.203418
Point394	77.008255 97.896782 19.069156
Point401	90.919986 89.943495 24.589055
Point428	95.127468 69.752575 0.787552
Point477	65.907567 84.038327 34.333441
Point482	84.071595 56.508690 22.098595
Point541	67.532337 71.166180 9.904583
Point550	82.633285 74.400099 2.143790
Point553	91.229262 86.852707 13.020373
Point555	75.662954 71.853085 17.799152
Point556	83.588435 71.218945 3.819957
Point577	96.415577 85.643436 31.165902
Point579	76.331078 92.021539 6.421519
Point583	75.746534 86.007297 10.886530
Point585	59.844429 79.444382 9.834973
Point589	69.490756 89.903725 29.416767
Point610	77.559744 63.251498 6.401752
Point636	76.999956 97.222201 7.278524
Point642	70.827919 74.484690 36.761855
Point702	76.499067 71.996456 39.924618
Point717	66.300651 76.062250 22.870964
Point767	79.328969 56.097777 27.095133
Point771	69.692249 84.932627 15.465974
Point785	62.582669 74.478560 13.169595
Point805	81.123190 73.834429 25.694247
Point810	69.687343 85.971646 19.403297
Point829	75.720563 80.394453 33.240193
Point830	94.380759 70.142141 14.207384
Point833	74.922380 75.776597 35.877349
Point859	78.996736 55.972925 19.128412
Point867	90.519843 78.470221 12.082246
Point880	85.859147 84.838770 26.421694
Point881	69.439189 74.556947 38.868141
Point896	62.719212 93.242238 22.481365
Point901	65.415853 85.470830 0.991713
Point920	95.438815 95.620318 7.603059
Point931	76.198346 95.886904 24.599314
Point936	75.565542 68.818363 4.009416
Point989	71.575238 91.741001 29.985321
Point992	76.115037 97.811710 13.346621
Point1022	67.109871 90.975500 32.512115
Point1037	91.295565 65.161237 28.880471
Point1041	65.550908 85.799435 28.353450
Point1047	62.361263 97.232900 18.446669
Point1076	85.806070 71.533000 2.155693
Point1094	68.400711 70.500132 9.329438
Point1107	96.402776 78.659234 1.545263
Point1182	57.692041 92.379467 18.303766
Point1200	77.088650 74.862191 43.353626
Point1203	82.644460 69.631539 9.877072
Point1209	94.474810 78.596907 33.322903
Point1211	87.836576 89.629668 38.099976
Point1246	84.336829 67.077433 28.132751
Point1276	95.878489 81.859521 20.802316
Point1283	79.395845 82.701600 22.108170
Point1290	95.674656 82.113419 31.501364
Point1310	86.337698 63.396123 6.599827
Point1315	93.427353 83.104064 23.746923
Point1317	75.607232 84.479035 29.256961
Point1347	96.380735 70.818455 25.773318
Point1353	93.562624 96.111541 27.405959
Point1362	81.357915 79.640844 3.015191
Point1384	84.752691 68.644417 9.670384
Point1403	84.067364 82.757709 21.719245
Point1407	58.747168 76.231638 26.700174
Point1413	88.822841 58.773426 9.639898
Point1416	68.263230 81.542380 1.378250
Point1445	92.229496 85.050823 6.916793
